scope,run,profile_mix,profiles,total_events,size_gb,benign_events,malicious_events,malicious_ratio_percent
single-host,1,Admin338 + APT33 + APT39,3,3303061,1.172,3299034,4027,0.12
single-host,2,Admin338 + FIN7 + APT1,3,2678556,0.959,2648268,30288,1.13
single-host,3,Admin338 + FIN7 + APT41,3,2653823,0.935,2651996,1827,0.07
single-host,4,Admin338 + Gamaredon + APT37,3,2657632,0.923,2656262,1370,0.05
single-host,5,APT1 + CobaltGroup + APT29,3,3787442,1.390,3757448,29994,0.79
single-host,6,APT29 + APT41 + APT37,3,2229016,0.796,2227998,1018,0.05
single-host,7,APT29 + Gamaredon + APT5,3,5323224,1.846,5320946,2278,0.04
single-host,8,APT32 + APT33 + APT39,3,2426438,0.870,2421859,4579,0.19
single-host,9,APT33 + Patchwork + APT5,3,5458338,1.912,5428503,29835,0.55
single-host,10,APT37 + APT5 + Higaisa,3,4231794,1.474,4230177,1617,0.04
single-host,11,APT3 + APT41 + Gamaredon,3,4066861,1.395,4065218,1643,0.04
single-host,12,APT42 + GorgonGroup + Admin338,3,4526849,1.585,4522518,4331,0.10
single-host,13,APT5 + APT39 + APT33,3,4262577,1.502,4257628,4949,0.12
single-host,14,CobaltGroup + FIN7 + APT28,3,2945836,1.106,2916651,29185,0.99
single-host,15,FIN7 + APT28 + APT18,3,2563269,0.919,2534012,29257,1.14
single-host,16,Gamaredon + APT29 + CobaltGroup,3,4039742,1.449,4037781,1961,0.05
single-host,17,GorgonGroup + APT42 + Admin338,3,4493568,1.578,4488835,4733,0.11
single-host,18,GorgonGroup + APT5 + CobaltGroup,3,5780041,2.081,5774164,5877,0.10
single-host,19,Higaisa + FIN7 + Patchwork,3,3195873,1.130,3167320,28553,0.89
single-host,20,Patchwork + APT37 + APT42,3,3508912,1.233,3480586,28326,0.81
multi-host,1,BlackMatter + APT18 + APT41,3,2656504,1.756,2655817,687,0.03
multi-host,2,BlackMatter + APT29 + APT3,3,2764387,1.814,2756899,7488,0.27
multi-host,3,BlackMatter + GorgonGroup + APT18,3,2861536,1.893,2860913,623,0.02
multi-host,4,LockBit3 + APT18 + APT5,3,2987338,1.982,2979523,7815,0.26
multi-host,5,LockBit3 + APT1 + GorgonGroup,3,3240101,2.159,3232311,7790,0.24
multi-host,6,LockBit3 + GorgonGroup + Gamaredon,3,3143219,2.095,3142295,924,0.03
multi-host,7,PlayCrypt + APT39 + APT37,3,3050336,2.041,3049097,1239,0.04
multi-host,8,PlayCrypt + APT42 + APT29,3,3011936,2.004,3010644,1292,0.04
multi-host,9,PlayCrypt + APT5 + APT1,3,3093249,2.070,3078388,14861,0.48
multi-host,10,ViceSociety + APT42 + GorgonGroup,3,3227995,2.136,3225861,2134,0.07
multi-host,11,ViceSociety + CobaltGroup + Admin338,3,3352010,2.225,3349948,2062,0.06
multi-host,12,ViceSociety + FIN7 + APT33,3,2912768,1.964,2910689,2079,0.07
multi-host,13,VoltTyphoon + APT28 + APT18,3,3976090,2.605,3973371,2719,0.07
multi-host,14,VoltTyphoon + APT37 + APT29,3,3313141,2.219,3310426,2715,0.08
multi-host,15,Wocao + APT1 + APT3,3,4843042,3.155,4827378,15664,0.32
multi-host,16,Wocao + APT28 + APT32,3,4338289,2.874,4336390,1899,0.04
multi-host,17,Wocao + APT28 + APT37,3,4608308,3.023,4606420,1888,0.04
multi-host,18,Wocao + APT29 + APT39,3,5147918,3.354,5146014,1904,0.04
multi-host,19,Wocao + APT3 + APT18,3,4849147,3.149,4840400,8747,0.18
multi-host,20,Wocao + CobaltGroup + APT33,3,5385924,3.500,5384046,1878,0.03
