scope,run,profile_mix,profiles,total_events,size_gb,benign_events,malicious_events,malicious_ratio_percent
single-host,1,Admin338 + APT37,2,2306354,0.807,2305420,934,0.04
single-host,2,APT1 + APT39,2,1355367,0.518,1324476,30891,2.28
single-host,3,APT1 + Higaisa,2,3227772,1.125,3199425,28347,0.88
single-host,4,APT28 + APT41,2,2162205,0.789,2133500,28705,1.33
single-host,5,APT28 + GorgonGroup,2,3379498,1.220,3347877,31621,0.94
single-host,6,APT29 + APT39,2,2331258,0.840,2327550,3708,0.16
single-host,7,APT29 + APT3,2,2404039,0.859,2402799,1240,0.05
single-host,8,APT32 + Higaisa,2,2272401,0.806,2271772,629,0.03
single-host,9,APT33 + Admin338,2,3196201,1.121,3194739,1462,0.05
single-host,10,APT33 + CobaltGroup,2,3716427,1.341,3714823,1604,0.04
single-host,11,APT37 + APT33,2,2043992,0.734,2043154,838,0.04
single-host,12,APT39 + GorgonGroup,2,3260124,1.178,3253812,6312,0.19
single-host,13,APT3 + APT5,2,3932072,1.382,3930327,1745,0.04
single-host,14,APT3 + Patchwork,2,3309466,1.178,3280959,28507,0.86
single-host,15,CobaltGroup + APT37,2,2655100,0.980,2654013,1087,0.04
single-host,16,CobaltGroup + APT41,2,2654367,0.989,2652741,1626,0.06
single-host,17,FIN7 + APT37,2,2960863,1.015,2960388,475,0.02
single-host,18,Gamaredon + APT33,2,3187196,1.118,3186134,1062,0.03
single-host,19,GorgonGroup + Higaisa,2,3474731,1.237,3470728,4003,0.12
single-host,20,Patchwork + Higaisa,2,2558055,0.919,2529778,28277,1.11
multi-host,1,BlackMatter + APT29,2,2707963,1.797,2707343,620,0.02
multi-host,2,BlackMatter + APT33,2,2679448,1.760,2678840,608,0.02
multi-host,3,BlackMatter + APT3,2,2675032,1.771,2667517,7515,0.28
multi-host,4,BlackMatter + Patchwork,2,2790921,1.859,2790328,593,0.02
multi-host,5,LockBit3 + APT18,2,2798183,1.861,2797261,922,0.03
multi-host,6,LockBit3 + APT1,2,3525485,2.291,3517681,7804,0.22
multi-host,7,LockBit3 + APT29,2,3564039,2.311,3562989,1050,0.03
multi-host,8,LockBit3 + APT33,2,2881821,1.905,2880902,919,0.03
multi-host,9,LockBit3 + APT39,2,3498847,2.293,3497854,993,0.03
multi-host,10,LockBit3 + FIN7,2,3740177,2.447,3739266,911,0.02
multi-host,11,LockBit3 + Gamaredon,2,3109491,2.039,3108581,910,0.03
multi-host,12,PlayCrypt + Admin338,2,3593514,2.341,3592318,1196,0.03
multi-host,13,PlayCrypt + APT29,2,3690580,2.396,3689361,1219,0.03
multi-host,14,PlayCrypt + GorgonGroup,2,3179240,2.130,3178036,1204,0.04
multi-host,15,VoltTyphoon + Admin338,2,3504962,2.339,3501134,3828,0.11
multi-host,16,VoltTyphoon + APT32,2,2840904,1.936,2838184,2720,0.10
multi-host,17,Wocao + APT18,2,4292792,2.839,4290930,1862,0.04
multi-host,18,Wocao + APT5,2,4825393,3.139,4816664,8729,0.18
multi-host,19,Wocao + FIN7,2,5159571,3.356,5157632,1939,0.04
multi-host,20,Wocao + Gamaredon,2,4205987,2.806,4204137,1850,0.04
