scope,run,profile_mix,profiles,total_events,size_gb,benign_events,malicious_events,malicious_ratio_percent
single-host,1,APT29 + Higaisa + Patchwork + APT42 + APT33 + GorgonGroup,6,8598606,3.032,8562726,35880,0.42
single-host,2,APT32 + APT5 + APT1 + APT3 + APT18 + FIN7,6,6274837,2.213,6243805,31032,0.49
single-host,3,APT33 + APT5 + GorgonGroup + APT42 + APT37 + APT32,6,7704325,2.728,7698034,6291,0.08
single-host,4,APT33 + GorgonGroup + APT5 + APT18 + APT29 + APT32,6,8591321,3.019,8584343,6978,0.08
single-host,5,APT37 + APT41 + APT39 + Gamaredon + CobaltGroup + APT32,6,8233608,2.888,8228117,5491,0.07
single-host,6,APT3 + APT29 + Higaisa + GorgonGroup + APT18 + APT41,6,8510696,2.988,8503506,7190,0.08
single-host,7,APT42 + APT32 + APT37 + APT3 + Admin338 + Higaisa,6,6665756,2.356,6663304,2452,0.04
single-host,8,APT42 + APT5 + FIN7 + CobaltGroup + Admin338 + APT1,6,7066807,2.546,7034826,31981,0.45
single-host,9,APT5 + APT3 + FIN7 + APT1 + APT42 + APT29,6,5349124,1.971,5317930,31194,0.58
single-host,10,APT5 + FIN7 + APT41 + GorgonGroup + Patchwork + APT28,6,8591580,2.997,8530344,61236,0.71
single-host,11,CobaltGroup + Higaisa + APT41 + APT42 + APT1 + APT29,6,6583359,2.364,6552632,30727,0.47
single-host,12,FIN7 + APT32 + APT33 + APT18 + APT1 + Higaisa,6,4433411,1.628,4403251,30160,0.68
single-host,13,Gamaredon + APT3 + Patchwork + APT41 + APT1 + APT32,6,5794465,2.068,5706769,87696,1.51
single-host,14,Gamaredon + FIN7 + APT1 + CobaltGroup + APT41 + GorgonGroup,6,5864818,2.151,5831047,33771,0.58
single-host,15,GorgonGroup + APT33 + CobaltGroup + APT28 + Higaisa + APT37,6,6440205,2.357,6405911,34294,0.53
single-host,16,GorgonGroup + APT37 + APT42 + APT18 + APT41 + APT28,6,5899232,2.133,5865609,33623,0.57
single-host,17,Higaisa + CobaltGroup + Gamaredon + APT37 + APT5 + Patchwork,6,8599101,2.970,8568407,30694,0.36
single-host,18,Patchwork + APT1 + APT32 + APT37 + FIN7 + APT33,6,7120848,2.579,7063744,57104,0.80
single-host,19,Patchwork + APT33 + Higaisa + APT29 + FIN7 + Gamaredon,6,8597963,2.955,8567378,30585,0.36
single-host,20,Patchwork + APT41 + CobaltGroup + APT32 + APT5 + APT37,6,6220925,2.250,6189859,31066,0.50
multi-host,1,BlackMatter + APT37 + APT41 + APT18 + FIN7 + APT33,6,3580253,2.303,3579498,755,0.02
multi-host,2,BlackMatter + APT37 + GorgonGroup + Admin338 + CobaltGroup + APT29,6,3943742,2.540,3943036,706,0.02
multi-host,3,BlackMatter + FIN7 + APT39 + Higaisa + Gamaredon + APT18,6,3177662,2.091,3176973,689,0.02
multi-host,4,LockBit3 + APT42 + APT39 + Admin338 + CobaltGroup + APT5,6,3738272,2.458,3730252,8020,0.21
multi-host,5,LockBit3 + CobaltGroup + APT5 + APT32 + APT33 + Patchwork,6,4650241,2.973,4642228,8013,0.17
multi-host,6,PlayCrypt + APT32 + Higaisa + APT41 + Admin338 + APT42,6,4593902,2.915,4592456,1446,0.03
multi-host,7,PlayCrypt + APT37 + APT39 + APT32 + APT33 + APT3,6,3550829,2.328,3542563,8266,0.23
multi-host,8,PlayCrypt + APT39 + Gamaredon + CobaltGroup + APT18 + APT32,6,4265750,2.766,4264415,1335,0.03
multi-host,9,PlayCrypt + APT41 + APT33 + Higaisa + APT18 + CobaltGroup,6,5197036,3.332,5195709,1327,0.03
multi-host,10,ViceSociety + APT1 + APT32 + APT41 + Higaisa + APT39,6,3319007,2.214,3310313,8694,0.26
multi-host,11,ViceSociety + APT41 + APT29 + APT39 + Admin338 + APT1,6,3417285,2.279,3408247,9038,0.26
multi-host,12,ViceSociety + APT5 + FIN7 + Gamaredon + APT32 + APT28,6,3055230,2.051,3046282,8948,0.29
multi-host,13,ViceSociety + CobaltGroup + APT5 + APT33 + APT42 + Higaisa,6,3552021,2.367,3542987,9034,0.25
multi-host,14,ViceSociety + CobaltGroup + Higaisa + Patchwork + APT41 + FIN7,6,3112240,2.119,3110069,2171,0.07
multi-host,15,ViceSociety + Higaisa + APT29 + Patchwork + APT18 + APT1,6,3699245,2.430,3690680,8565,0.23
multi-host,16,Wocao + APT32 + APT37 + APT29 + APT33 + GorgonGroup,6,5255592,3.409,5253577,2015,0.04
multi-host,17,Wocao + APT33 + Admin338 + APT41 + Higaisa + Gamaredon,6,7030536,4.543,7028526,2010,0.03
multi-host,18,Wocao + APT5 + Patchwork + APT18 + APT3 + Gamaredon,6,5038448,3.276,5029571,8877,0.18
multi-host,19,Wocao + Gamaredon + APT32 + APT39 + Higaisa + APT3,6,6750317,4.352,6740822,9495,0.14
multi-host,20,Wocao + GorgonGroup + APT33 + Patchwork + APT39 + APT29,6,7408257,4.892,7406321,1936,0.03
