scope,run,profile_mix,profiles,total_events,size_gb,benign_events,malicious_events,malicious_ratio_percent
single-host,1,APT18 + APT29 + Gamaredon + APT3 + APT39,5,6804103,2.377,6797930,6173,0.09
single-host,2,APT18 + APT33 + APT42 + APT5 + APT39,5,4768345,1.663,4762296,6049,0.13
single-host,3,APT1 + APT18 + Higaisa + APT32 + APT41,5,3060962,1.077,3029335,31627,1.03
single-host,4,APT1 + Higaisa + APT18 + Admin338 + APT28,5,4312318,1.538,4254571,57747,1.34
single-host,5,APT28 + APT41 + APT18 + APT1 + APT5,5,4352374,1.562,4293700,58674,1.35
single-host,6,APT28 + APT42 + FIN7 + APT29 + Gamaredon,5,7502961,2.559,7473562,29399,0.39
single-host,7,APT29 + Admin338 + APT28 + APT1 + FIN7,5,4135016,1.467,4077416,57600,1.39
single-host,8,APT32 + APT33 + APT41 + APT5 + APT29,5,5330546,1.952,5325991,4555,0.09
single-host,9,APT32 + FIN7 + Gamaredon + Admin338 + APT18,5,6073935,2.113,6070565,3370,0.06
single-host,10,APT33 + APT1 + APT29 + Admin338 + FIN7,5,6052455,2.149,6022109,30346,0.50
single-host,11,APT37 + APT28 + APT33 + APT3 + APT1,5,5335117,1.872,5278782,56335,1.06
single-host,12,APT39 + APT5 + FIN7 + Patchwork + APT33,5,5958465,2.098,5925430,33035,0.55
single-host,13,APT3 + GorgonGroup + APT33 + APT1 + APT37,5,7361896,2.581,7327982,33914,0.46
single-host,14,APT41 + APT33 + APT18 + APT28 + FIN7,5,3856212,1.359,3825675,30537,0.79
single-host,15,APT42 + APT39 + CobaltGroup + APT3 + APT1,5,4754049,1.729,4721951,32098,0.68
single-host,16,CobaltGroup + Admin338 + Patchwork + APT29 + APT37,5,5464044,1.928,5433659,30385,0.56
single-host,17,CobaltGroup + APT1 + Higaisa + APT5 + APT28,5,5444703,1.962,5386462,58241,1.07
single-host,18,CobaltGroup + APT39 + APT18 + Patchwork + Gamaredon,5,6998637,2.440,6964466,34171,0.49
single-host,19,FIN7 + Patchwork + APT33 + Higaisa + APT37,5,5836774,1.997,5807347,29427,0.50
single-host,20,GorgonGroup + Higaisa + APT3 + FIN7 + APT32,5,5097225,1.783,5092432,4793,0.09
multi-host,1,BlackMatter + APT1 + APT18 + APT29 + Higaisa,5,4067472,2.598,4059960,7512,0.18
multi-host,2,BlackMatter + APT28 + Patchwork + APT29 + APT32,5,3453099,2.245,3452378,721,0.02
multi-host,3,BlackMatter + APT29 + APT42 + Admin338 + Higaisa,5,3071105,2.018,3070375,730,0.02
multi-host,4,BlackMatter + APT41 + APT1 + APT28 + Patchwork,5,3126973,2.075,3119324,7649,0.24
multi-host,5,BlackMatter + APT42 + APT18 + Higaisa + APT1,5,2088202,1.407,2080650,7552,0.36
multi-host,6,BlackMatter + GorgonGroup + APT29 + APT3 + APT18,5,3204510,2.094,3196939,7571,0.24
multi-host,7,LockBit3 + APT18 + APT28 + CobaltGroup + APT32,5,5032080,3.175,5031050,1030,0.02
multi-host,8,LockBit3 + APT32 + APT42 + APT18 + Patchwork,5,4190196,2.697,4189113,1083,0.03
multi-host,9,LockBit3 + FIN7 + APT39 + APT42 + APT41,5,3116341,2.063,3115255,1086,0.03
multi-host,10,LockBit3 + GorgonGroup + Higaisa + APT3 + APT1,5,3328508,2.223,3313741,14767,0.44
multi-host,11,ViceSociety + APT29 + APT3 + APT18 + APT41,5,3227762,2.147,3218667,9095,0.28
multi-host,12,ViceSociety + APT29 + CobaltGroup + APT1 + APT37,5,3978966,2.615,3969545,9421,0.24
multi-host,13,ViceSociety + FIN7 + APT39 + Higaisa + APT5,5,3341123,2.244,3332004,9119,0.27
multi-host,14,ViceSociety + Patchwork + CobaltGroup + APT32 + APT33,5,1946728,1.258,1946544,184,0.01
multi-host,15,VoltTyphoon + Admin338 + APT5 + Patchwork + APT42,5,3655564,2.437,3645741,9823,0.27
multi-host,16,VoltTyphoon + APT28 + APT18 + APT33 + CobaltGroup,5,4076329,2.693,4073607,2722,0.07
multi-host,17,Wocao + Admin338 + Gamaredon + APT32 + CobaltGroup,5,5513339,3.574,5511353,1986,0.04
multi-host,18,Wocao + APT33 + FIN7 + APT41 + GorgonGroup,5,4370091,2.918,4368123,1968,0.05
multi-host,19,Wocao + APT39 + CobaltGroup + APT32 + FIN7,5,5008322,3.260,5006368,1954,0.04
multi-host,20,Wocao + Higaisa + APT29 + APT41 + APT39,5,6867287,4.389,6865298,1989,0.03
